fast_ema,slow_ema,rsi_period,rsi_overbought,rsi_oversold,atr_period,stop_atr,take_atr,final_capital,profit
10,30,14,75,25,14,2.0,2,1083.0000000000032,83.00000000000318
10,30,14,75,30,14,2.0,2,1083.0000000000032,83.00000000000318
15,20,14,75,25,14,2.0,2,1049.9400000000044,49.940000000004375
15,20,14,75,30,14,2.0,2,1049.9400000000044,49.940000000004375
10,30,14,75,30,14,1.0,2,1021.1700000000124,21.17000000001235
10,30,14,75,25,14,1.0,2,1021.1700000000124,21.17000000001235
15,20,14,75,25,14,1.0,2,1020.2500000000126,20.25000000001262
15,20,14,75,30,14,1.0,2,1020.2500000000126,20.25000000001262
10,30,14,75,30,14,1.5,2,1010.1400000000054,10.140000000005443
10,30,14,75,25,14,1.5,2,1010.1400000000054,10.140000000005443
10,30,14,70,25,14,1.0,3,1009.8700000000129,9.870000000012851
10,30,14,70,30,14,1.0,3,1009.8700000000129,9.870000000012851
5,40,14,75,30,14,2.0,2,1009.8500000000007,9.850000000000705
5,40,14,75,25,14,2.0,2,1009.8500000000007,9.850000000000705
20,50,14,75,25,14,1.5,4,1009.590000000004,9.59000000000401
20,50,14,75,30,14,1.5,4,1009.590000000004,9.59000000000401
10,30,14,75,25,14,1.0,3,1002.91000000001,2.9100000000099726
10,30,14,75,30,14,1.0,3,1002.91000000001,2.9100000000099726
15,20,14,70,30,14,1.0,3,1002.890000000012,2.890000000012037
15,20,14,70,25,14,1.0,3,1002.890000000012,2.890000000012037
10,30,14,75,25,14,2.0,4,1002.3200000000091,2.320000000009145
10,30,14,75,30,14,2.0,4,1002.3200000000091,2.320000000009145
15,70,14,75,25,14,1.5,4,1001.430000000004,1.4300000000040427
15,70,14,75,30,14,1.5,4,1001.430000000004,1.4300000000040427
20,60,14,75,30,14,1.5,4,1000.3500000000026,0.35000000000263753
20,60,14,75,25,14,1.5,4,1000.3500000000026,0.35000000000263753
15,80,14,75,25,14,1.5,4,998.5900000000015,-1.4099999999984902
15,80,14,75,30,14,1.5,4,998.5900000000015,-1.4099999999984902
10,30,14,70,25,14,2.0,3,998.4900000000058,-1.5099999999941929
10,30,14,70,30,14,2.0,3,998.4900000000058,-1.5099999999941929
15,20,14,75,30,14,1.0,3,998.2300000000097,-1.7699999999903184
15,20,14,75,25,14,1.0,3,998.2300000000097,-1.7699999999903184
10,30,14,70,30,14,1.0,4,997.8100000000098,-2.189999999990164
10,30,14,70,25,14,1.0,4,997.8100000000098,-2.189999999990164
10,30,14,70,30,14,2.0,4,996.5300000000083,-3.469999999991728
10,30,14,70,25,14,2.0,4,996.5300000000083,-3.469999999991728
15,20,14,70,25,14,1.0,4,995.100000000007,-4.899999999993042
15,20,14,70,30,14,1.0,4,995.100000000007,-4.899999999993042
15,60,14,75,30,14,1.5,4,993.200000000002,-6.799999999998022
15,60,14,75,25,14,1.5,4,993.200000000002,-6.799999999998022
15,80,14,75,25,14,2.0,4,992.0500000000029,-7.94999999999709
15,80,14,75,30,14,2.0,4,992.0500000000029,-7.94999999999709
10,30,14,75,25,14,1.5,4,991.3200000000083,-8.67999999999165
10,30,14,75,30,14,1.5,4,991.3200000000083,-8.67999999999165
5,80,14,75,30,14,1.5,4,991.270000000004,-8.72999999999604
